Sentence,Token,Tag
0,Uppsala,B-LOC
0,),O
0,هيّا,O
0,رابع,O
0,أكبر,O
0,مدينة,O
0,ف,O
0,سّويد,B-LOC
0,من,O
0,بعد,O
0,سطوكهولم,B-LOC
0,،,O
0,ݣوتنبورݣ,B-LOC
0,ؤ,O
0,مالمو,B-LOC
0,.,O
1,ف,O
1,2018,O
1,كان,O
1,عدد,O
1,سّكان,O
1,ديالها,O
1,172,O
1,،,O
1,402,O
1,.,O
2,أوپيك,B-ORG
2,(,O
2,ب,O
2,لينݣليزية,B-MISC
2,:,O
2,OPEC,B-ORG
2,-,O
2,تاتعني,O
2,لمنضمة,B-ORG
2,د,I-ORG
2,لبلدان,I-ORG
2,اللي,I-ORG
2,كاتصدّر,I-ORG
2,لپطرول,I-ORG
2,),O
2,،,O
2,هي,O
2,منضمة,O
2,عالمية,O
2,تاتجمع,O
2,بلدان,O
2,اللي,O
2,تيعوّل,O
2,لإقتصاد,O
2,ديالها,O
2,بزاف,O
2,على,O
2,لپطرول,O
2,.,O
3,تأسسات,O
3,هاد,O
3,لمنضمة,O
3,نهار,O
3,14,B-MISC
3,شتنبر,I-MISC
3,1960,I-MISC
3,ف,O
3,بغداد,B-LOC
3,و,O
3,كانو,O
3,فيها,O
3,خمسة,O
3,د,O
3,لبدان,O
3,(,O
3,لعراق,B-LOC
3,،,O
3,إيران,B-LOC
3,،,O
3,لكويت,B-LOC
3,،,O
3,السعودية,B-LOC
3,و,O
3,ڤينيزويلا,B-LOC
3,),O
3,.,O
4,ف,O
4,1965,O
4,،,O
4,رحلات,O
4,لمنضمة,O
4,،,O
4,و,O
4,ولأّ,O
4,لمقر,O
4,ديالها,O
4,ف,O
4,ڤيينا,B-LOC
4,،,O
4,واخا,O
4,لوطريش,B-LOC
4,ماشي,O
4,دولة,O
4,عضو,O
4,فيها,O
4,.,O
5,لمنضمة,O
5,فيها,O
5,دابا,O
5,13,O
5,د,O
5,لأعضاء,O
5,،,O
5,و,O
5,لمجموع,O
5,ديال,O
5,لإنتاج,O
5,ديالهم,O
5,د,O
5,لپطرول,O
5,تيوصل,O
5,لتقريبا,O
5,44,O
5,%,O
5,من,O
5,لإنتاج,O
5,د,O
5,لعالم,O
5,،,O
5,و,O
5,هو,O
5,اللي,O
5,تيخلي,O
5,لأوپيك,B-ORG
5,تكون,O
5,منضمة,O
5,مهمة,O
5,،,O
5,حيت,O
5,تقدر,O
5,تبدّل,O
5,التمن,O
5,د,O
5,ليصونص,O
5,ف,O
5,لعالم,O
5,ف,O
5,أي,O
5,وقت,O
5,.,O
6,تاتقول,O
6,لأوپيك,B-ORG
6,باللي,O
6,لغرض,O
6,علاش,O
6,تأسسات,O
6,هو,O
6,باش,O
6,تحيد,O
6,لإحتكار,O
6,اللي,O
6,كانت,O
6,دايراه,O
6,الشركات,O
6,د,O
6,لپطرول,O
6,ف,O
6,لعالم,O
6,،,O
6,و,O
6,باش,O
6,يوليو,O
6,لبلدان,O
6,هوما,O
6,اللي,O
6,تيتافقو,O
6,بيناتهم,O
6,على,O
6,كيفاش,O
6,يديرو,O
6,أتمنة,O
6,معقولة,O
6,و,O
6,مستاقرة,O
6,و,O
6,تاتسلّك,O
6,كلشي,O
6,.,O
7,أوپيك,B-ORG
7,فيها,O
7,دابا,O
7,13,O
7,دولة,O
7,اللي,O
7,أعضاء,O
7,،,O
7,و,O
7,هوما,O
7,:,O
7,الجزائر,B-LOC
7,أنݣولا,B-LOC
7,غينيا,B-LOC
7,ستيوائية,I-LOC
7,لݣابون,B-LOC
7,إيران,B-LOC
7,لعراق,B-LOC
7,لكويت,B-LOC
7,ليبيا,B-LOC
7,نيجيريا,B-LOC
7,جمهورية,B-LOC
7,لكونݣو,I-LOC
7,السعودية,B-LOC
7,لإمارات,B-LOC
7,ڤينيزويلا,B-LOC
7,لأمم,B-LOC
7,لمتحدة,I-LOC
7,السيط,O
7,ديال,O
7,لأوپيك,B-ORG
7,أوپولو,B-LOC
7,(,O
7,ب,O
7,الصاموية,B-MISC
7,:,O
7,Upolu,B-LOC
7,),O
7,هي,O
7,ݣزيرة,O
7,تابعة,O
7,للبلاد,O
7,دصاموا,B-LOC
7,وكاينة,O
7,فلغرب,O
7,تاع,O
7,لمحيط,O
7,لمهدن,O
7,.,O
8,فيها,O
8,75,O
8,كيلوميطر,O
8,فالطول,O
8,ولميساحة,O
8,ديالتها,O
8,واصلة,O
8,ل1125,O
8,كيلوميطر,O
8,مرباع,O
8,،,O
8,الشي,O
8,اللي,O
8,كايخلّيها,O
8,تكون,O
8,لݣزيرة,O
8,التانية,O
8,فالترتيب,O
8,من,O
8,ناحية,O
8,لوساعة,O
8,مابين,O
8,ݣزاير,O
8,صاموا,B-LOC
8,من,O
8,مورا,O
8,ݣزيرة,O
8,صاڤاي,B-LOC
8,.,O
9,من,O
9,ناحية,O
9,السكان,O
9,،,O
9,هي,O
9,لݣزيرة,O
9,لمسكونة,O
9,بزاف,O
9,وفيها,O
9,كتر,O
9,من,O
9,145,O
9,ألف,O
9,دلبشري,O
9,.,O
10,جات,O
10,أوپولو,B-LOC
10,فلجانوب,O
10,الشرقي,O
10,ديال,O
10,صاڤاي,B-LOC
10,.,O
11,مدينة,O
11,أپيا,B-LOC
11,كاينة,O
11,فلوصط,O
11,ديال,O
11,الساحل,O
11,دالشمال,O
11,،,O
11,ولمطار,O
11,الدولي,O
11,كاين,O
11,فلغرب,O
11,ديالتها,O
11,.,O
12,تاريخيا,O
12,لݣزيرة,O
12,عمّر,O
12,تسجل,O
12,فيها,O
12,نفيجار,O
12,ديال,O
12,شي,O
12,بركان,O
12,،,O
12,واخا,O
12,كاينين,O
12,أدلة,O
12,باللي,O
12,لحمم,O
12,فايت,O
12,ليهوم,O
12,خرجو,O
12,وزادو,O
12,على,O
12,الضص,O
12,ديال,O
12,لݣزيرة,O
12,شحال,O
12,هادا,O
12,،,O
12,مابين,O
12,لميات,O
12,ولالوف,O
12,دالسنين,O
12,هادي,O
12,.,O
13,فالتقافة,O
13,ديال,O
13,الناس,O
13,دصاموا,B-LOC
13,،,O
13,أوپولو,B-PER
13,هي,O
13,أوّل,O
13,مرا,O
13,سكنات,O
13,لݣزيرة,O
13,.,O
14,ف,O
14,29,B-MISC
14,شتنبر,I-MISC
14,2009,I-MISC
14,ضرب,O
14,تسونامي,O
14,خايب,O
14,لݣزيرة,O
14,.,O
15,20,O
15,ڤيلاج,O
15,فالجيهة,O
15,دلجانوب,O
15,رابو,O
15,ومنهوم,O
15,لبلاد,O
15,ديال,O
15,الرايس,O
15,دلويزارا,O
15,ديك,O
15,الساعات,O
15,.,O
16,فلڤيلاج,O
16,ديال,O
16,ليپا,B-LOC
16,،,O
16,لكنيسة,O
16,ولپلاكة,O
16,ديال,O
16,الترحيب,O
16,فالطريق,O
16,اللي,O
16,كاتدي,O
16,للڤيلاج,O
16,هوما,O
16,اللي,O
16,بقاو,O
16,واقفين,O
16,.,O
17,أوب,B-LOC
17,ولاّ,O
17,أوبي,B-LOC
17,(,O
17,ب,O
17,الروسية,B-MISC
17,:,O
17,Обь,B-LOC
17,),O
17,هو,O
17,سابع,O
17,أطول,O
17,واد,O
17,ف,O
17,لعالم,O
17,،,O
17,و,O
17,جا,O
17,ف,O
17,لغرب,O
17,ديال,O
17,سيبيريا,B-LOC
17,.,O
18,الطول,O
18,ديالو,O
18,كامل,O
18,هو,O
18,5410,O
18,كيلوميطر,O
18,،,O
18,و,O
18,مع,O
18,لفروع,O
18,ديالو,O
18,تيدوز,O
18,من,O
18,تلاتة,O
18,د,O
18,لبلدان,O
18,،,O
18,اللي,O
18,هي,O
18,:,O
18,روسيا,B-LOC
18,،,O
18,مونݣوليا,B-LOC
18,و,O
18,كازاخستان,B-LOC
18,.,O
19,لعيون,O
19,د,O
19,واد,O
19,أوب,B-LOC
19,جاو,O
19,ف,O
19,جبال,O
19,ألطاي,B-LOC
19,ف,O
19,لجنوب,O
19,د,O
19,سيبيريا,B-LOC
19,،,O
19,و,O
19,موراها,O
19,تيبقا,O
19,طالع,O
19,للشمال,O
19,،,O
19,تا,O
19,تيصبّ,O
19,ف,O
19,لبحر,O
19,د,O
19,كارا,B-LOC
19,،,O
19,ف,O
19,لمحيط,B-LOC
19,لمجمد,I-LOC
19,الشمالي,I-LOC
19,.,O
20,أوب,B-LOC
20,تيدوز,O
20,من,O
20,لمدينة,O
20,د,O
20,نوڤوسيبيريسك,B-LOC
20,،,O
20,اللي,O
20,هي,O
20,تالت,O
20,أكبر,O
20,مدينة,O
20,ف,O
20,روسيا,B-LOC
20,من,O
20,جيهت,O
20,السكان,O
20,،,O
20,و,O
20,هي,O
20,لبلاصة,O
20,اللي,O
20,تيقطع,O
20,منها,O
20,الطران,O
20,د,O
20,سيبيريا,B-LOC
20,باش,O
20,يكمّل,O
20,طريقو,O
20,.,O
21,غشت,B-MISC
21,هوّا,O
21,شّهر,O
21,تّامن,O
21,ف,O
21,تّقويم,O
21,لݣريݣوري,O
21,،,O
21,ؤ,O
21,مرتابط,O
21,ب,O
21,فصل,O
21,صّيف,O
21,ف,O
21,نّص,O
21,شّمالي,O
21,د,O
21,لأرض,O
21,،,O
21,ؤ,O
21,ب,O
21,فصل,O
21,شّتا,O
21,ف,O
21,نّص,O
21,لجانوبي,O
21,د,O
21,لأرض,O
21,،,O
21,ؤ,O
21,هوّا,O
21,ضونك,O
21,لموقابيل,O
21,لفصلي,O
21,ديال,O
21,شهر,O
21,فبراير,B-MISC
21,.,O
22,تاونات,B-LOC
22,،,O
22,جهة,O
22,فاس,B-LOC
22,مكناس,B-LOC
22,،,O
22,ساكنين,O
22,فيها,O
22,9856,O
22,واحد,O
22,،,O
22,على,O
22,حسب,O
22,لإحصاء,O
22,لعام,O
22,2014,O
22,.,O
23,نسبة,O
23,لأمية,O
23,(,O
23,نّاس,O
23,لّي,O
23,ما,O
23,كايعرفوش,O
23,يقراو,O
23,ولا,O
23,يكتبو,O
23,),O
23,:,O
23,58,O
23,%,O
23,نسبة,O
23,سّكان,O
23,لّي,O
23,قاريين,O
23,فوق,O
23,تّانوي,O
23,(,O
23,تانوي,O
23,و,O
23,جامعة,O
23,),O
23,:,O
23,3,O
23,",",O
23,1,O
23,%,O
23,نسبة,O
23,نّاس,O
23,نّشيطين,O
23,(,O
23,لّي,O
23,يقدرو,O
23,يخدمو,O
23,),O
23,:,O
23,47,O
23,%,O
23,نسبة,O
23,لبطالة,O
23,(,O
23,نّاس,O
23,لّي,O
23,ما,O
23,خدامينش,O
23,و,O
23,تايقلبو,O
23,على,O
23,خدمة,O
23,),O
23,:,O
23,2,O
23,",",O
23,1,O
23,%,O
23,نسبة,O
23,نّاس,O
23,اللي,O
23,خدامين,O
23,ف,O
23,دّولة,O
23,(,O
23,ولا,O
23,لعاطلين,O
23,اللي,O
23,سبق,O
23,ليهوم,O
23,خدمو,O
23,),O
23,:,O
23,2,O
23,%,O
23,نسبة,O
23,نّاس,O
23,اللي,O
23,خدامين,O
23,في,O
23,لقطاع,O
23,لخاص,O
23,(,O
23,ولا,O
23,لعاطلين,O
23,اللي,O
23,سبق,O
23,ليهوم,O
23,خدمو,O
23,),O
23,:,O
23,18,O
23,%,O
23,جيهة,O
23,أ,O
23,وطاݣو,B-LOC
23,(,O
23,ب,O
23,النݣليزية,B-MISC
23,:,O
23,Otago,B-LOC
23,Region,O
23,،,O
23,بلوغة,O
23,شعب,O
23,لماوري,B-MISC
23,:,O
23,Ōtākou,B-LOC
23,),O
23,هي,O
23,وحدة,O
23,من,O
23,لجيهات,O
23,ديال,O
23,نيوزيلاندا,B-LOC
23,اللي,O
23,كاينة,O
23,فلجانوب,O
23,الشرقي,O
23,ديال,O
23,لݣزيرة,B-LOC
23,دلجانوب,I-LOC
23,.,O
24,لعاصيمة,O
24,ديال,O
24,هاد,O
24,لجيهة,O
24,هي,O
24,دونيدين,B-LOC
24,.,O
25,لميساحة,O
25,ديالها,O
25,واصلة,O
25,ل,O
25,31,O
25,",",O
25,241,O
25,كم²,O
25,،,O
25,والسكان,O
25,ديالها,O
25,واصلين,O
25,ل,O
25,229,O
25,",",O
25,200,O
25,على,O
25,حساب,O
25,ليحصاء,O
25,ديال,O
25,2018,O
25,.,O
26,محادينها,O
26,جيهة,O
26,كانطربوري,B-LOC
26,،,O
26,جيهة,O
26,الساحل,O
26,لغربي,O
26,وجيهة,O
26,ساوتلاند,B-LOC
26,.,O
27,لمدون,O
27,لعشرة,O
27,لكبار,O
27,ديال,O
27,جيهة,O
27,أوطاݣو,B-LOC
27,:,O
27,ؤطاكو,B-MISC
27,(,O
27,ب,O
27,جاپونية,B-MISC
27,お宅,O
27,ؤلا,O
27,オタク,O
27,ؤلا,O
27,ヲタク,O
27,),O
27,هيّا,O
27,واحد,O
27,لكلمة,O
27,أصلها,O
27,جاپوني,O
27,كتݣال,O
27,ف,O
27,لمغريب,B-LOC
27,ؤ,O
27,ف,O
27,بزاف,O
27,د,O
27,لبلدان,O
27,علا,O
27,نّاس,O
27,لي,O
27,عزيز,O
27,عليهوم,O
27,لأنيمي,B-MISC
27,ؤلا,O
27,لمانݣا,B-MISC
27,.,O
28,ف,O
28,جاپونية,B-MISC
28,كتشير,O
28,ل,O
28,أي,O
28,واحد,O
28,عندو,O
28,هواية,O
28,كيحماق,O
28,عليها,O
28,،,O
28,بحال,O
28,لّوعاب,O
28,د,O
28,تيليجو,B-MISC
28,،,O
28,ؤ,O
28,كيتبع,O
28,لجديد,O
28,ؤ,O
28,لأخبار,O
28,ديالها,O
28,ؤ,O
28,ف,O
28,بعض,O
28,لمرات,O
28,كيشري,O
28,أي,O
28,حاجة,O
28,متعلقة,O
28,ب,O
28,ديك,O
28,لهواية,O
28,.,O
29,كتكوّن,O
29,هاد,O
29,لكلمة,O
29,من,O
29,جوج,O
29,د,O
29,لمورصوات,O
29,:,O
29,مورصو,O
29,ؤ,O
29,كيعني,O
29,تّفخيم,O
29,ؤ,O
29,مرصو,O
29,طاكو,O
29,لي,O
29,كيعني,O
29,دّار,O
29,ب,O
29,جّاپونية,B-MISC
29,(,O
29,ؤطاكو,B-MISC
29,هي,O
29,طريقة,O
29,مأدبة,O
29,ؤ,O
29,مصوابة,O
29,باش,O
29,تݣول,O
29,ل,O
29,شي,O
29,واحد,O
29,دارك,O
29,ؤلا,O
29,نتا,O
29,),O
29,.,O
30,لمقابل,O
30,ديالها,O
30,ب,O
30,نݣليزية,B-MISC
30,هوّا,O
30,ݣيك,O
30,Geek,B-MISC
30,.,O
31,كلمة,O
31,ؤطاكو,B-MISC
31,تستعملات,O
31,ل,O
31,أول,O
31,مرة,O
31,بشكل,O
31,رسمي,O
31,ف,O
31,مقال,O
31,ديال,O
31,صّحفي,O
31,أكيو,B-PER
31,ناكاموري,I-PER
31,نشرو,O
31,ف,O
31,1983,O
31,ب,O
31,عنوان,O
31,おたくの研究,O
31,(,O
31,دراسة,B-MISC
31,ديال,I-MISC
31,لؤطاكو,I-MISC
31,),O
31,،,O
31,ؤ,O
31,من,O
31,تماك,O
31,ولّات,O
31,منتاشرة,O
31,بزاف,O
31,.,O
32,قبل,O
32,من,O
32,داكشي,O
32,كانو,O
32,شلّة,O
32,د,O
32,لكلمات,O
32,موجودين,O
32,ف,O
32,جّاپون,B-LOC
32,كيشيرو,O
32,ل,O
32,هاد,O
32,نّوع,O
32,د,O
32,نّاس,O
32,.,O
33,كلمة,O
33,ؤطاكو,B-MISC
33,ف,O
33,تّمانينات,O
33,كان,O
33,عندها,O
33,معنى,O
33,شوية,O
33,تحقيري,O
33,ؤ,O
33,كانت,O
33,كتشير,O
33,ل,O
33,ناس,O
33,عندهم,O
33,مشاكل,O
33,نفسية,O
33,ؤ,O
33,جتيماعية,O
33,،,O
33,نعيزاليين,O
33,ؤ,O
33,مهووسين,O
33,ب,O
33,لهواية,O
33,ديالهم,O
33,.,O
34,معا,O
34,مرور,O
34,لوقت,O
34,،,O
34,سيرتو,O
34,معا,O
34,لنتيشار,O
34,د,O
34,لأنترنيت,O
34,ولّا,O
34,عندها,O
34,معنى,O
34,إيجابي,O
34,.,O
35,ؤ,O
35,معا,O
35,ولّات,O
35,طبقة,O
35,كبيرة,O
35,ديال,O
35,لؤطاكو,B-MISC
35,ف,O
35,جّاپون,B-LOC
35,ؤ,O
35,علا,O
35,برا,O
35,،,O
35,ولّات,O
35,صناعات,O
35,خاصة,O
35,باش,O
35,تلبي,O
35,رّغبات,O
35,ديالهم,O
35,،,O
35,من,O
35,لإنتاج,O
35,ديال,O
35,لأنيميات,B-MISC
35,،,O
35,لمانݣات,B-MISC
35,،,O
35,لپوسطيرات,O
35,،,O
35,تّماتيل,O
35,ديال,O
35,شّخصيات,O
35,،,O
35,لّبسات,O
35,ؤ,O
35,غيرهم,O
35,.,O
36,لحجم,O
36,ديال,O
36,سّوق,O
36,ديال,O
36,لؤطاكو,B-MISC
36,تقدّر,O
36,ب,O
36,2,O
36,ترليون,O
36,ين,B-MISC
36,جاپوني,I-MISC
36,ف,O
36,2003,O
36,،,O
36,ؤلا,O
36,18,O
36,مليار,O
36,دولار,B-MISC
36,ميريكاني,I-MISC
36,.,O
37,أوتربات,B-LOC
37,جماعة,O
37,ترابية,O
37,قروية,O
37,كاينة,O
37,ف,O
37,إقليم,O
37,/,O
37,عمالة,O
37,ميدلت,B-LOC
37,،,O
37,جهة,O
37,درعا,B-LOC
37,تافيلالت,B-LOC
37,،,O
37,ساكنين,O
37,فيها,O
37,6819,O
37,واحد,O
37,،,O
37,على,O
37,حسب,O
37,لإحصاء,O
37,لعام,O
37,2014,O
37,.,O
38,نسبة,O
38,لأمية,O
38,(,O
38,نّاس,O
38,لّي,O
38,ما,O
38,كايعرفوش,O
38,يقراو,O
38,ولا,O
38,يكتبو,O
38,),O
38,:,O
38,56,O
38,%,O
38,نسبة,O
38,سّكان,O
38,لّي,O
38,قاريين,O
38,فوق,O
38,تّانوي,O
38,(,O
38,تانوي,O
38,و,O
38,جامعة,O
38,),O
38,:,O
38,4,O
38,",",O
38,7,O
38,%,O
38,نسبة,O
38,نّاس,O
38,نّشيطين,O
38,(,O
38,لّي,O
38,يقدرو,O
38,يخدمو,O
38,),O
38,:,O
38,66,O
38,",",O
38,7,O
38,%,O
38,نسبة,O
38,لبطالة,O
38,(,O
38,نّاس,O
38,لّي,O
38,ما,O
38,خدامينش,O
38,و,O
38,تايقلبو,O
38,على,O
38,خدمة,O
38,),O
38,:,O
38,2,O
38,",",O
38,1,O
38,%,O
38,نسبة,O
38,نّاس,O
38,اللي,O
38,خدامين,O
38,ف,O
38,دّولة,O
38,:,O
38,2,O
38,",",O
38,8,O
38,%,O
38,نسبة,O
38,نّاس,O
38,اللي,O
38,خدامين,O
38,في,O
38,لقطاع,O
38,لخاص,O
38,:,O
38,21,O
38,",",O
38,2,O
38,%,O
38,ؤطو,B-PER
38,فون,I-PER
38,بيسمارك,I-PER
38,(,O
38,ب,O
38,لألمانية,B-MISC
38,:,O
38,Otto,B-PER
38,von,I-PER
38,Bismarck,I-PER
38,),O
38,(,O
38,تولد,O
38,ف,O
38,1,B-MISC
38,أبريل,I-MISC
38,1815,I-MISC
38,ف,O
38,شونهاوزن,B-LOC
38,-,O
38,مات,O
38,ف,O
38,30,B-MISC
38,يوليوز,I-MISC
38,1898,I-MISC
38,ف,O
38,فريدريشسروه,B-LOC
38,),O
38,كان,O
38,سياسي,O
38,و,O
38,ديبلوماسي,O
38,و,O
38,كتاتبي,O
38,ألماني,B-MISC
38,،,O
38,معروف,O
38,باللي,O
38,هو,O
38,اللي,O
38,وحّد,O
38,ألمانيا,B-LOC
38,من,O
38,بزاف,O
38,د,O
38,لإمارات,O
38,مفارقة,O
38,ل,O
38,بلاد,O
38,وحدة,O
38,صحيحة,O
38,و,O
38,كبيرة,O
38,.,O
39,فون,B-PER
39,بيسمارك,I-PER
39,كان,O
39,هو,O
39,رئيس,O
39,لووزارا,O
39,د,O
39,لمملكة,O
39,د,O
39,پروسيا,B-LOC
39,من,O
39,1862,O
39,تال,O
39,1890,O
39,،,O
39,كان,O
39,من,O
39,لمؤسسين,O
39,د,O
39,لإمبراطورية,B-ORG
39,د,I-ORG
39,ألمانيا,I-ORG
39,ف,O
39,1871,O
39,من,O
39,مورا,O
39,بزاف,O
39,د,O
39,لحروب,O
39,مع,O
39,الدانمارك,B-LOC
39,و,O
39,لوطريش,B-LOC
39,و,O
39,فرانسا,B-LOC
39,،,O
39,و,O
39,كان,O
39,أول,O
39,مستشار,O
39,ديالها,O
39,.,O
40,مات,O
40,بيسمارك,B-PER
40,نهار,O
40,30,B-MISC
40,يوليوز,I-MISC
40,،,O
40,و,O
40,تبنا,O
40,ليه,O
40,ضريح,O
40,باقي,O
40,تيزوروه,O
40,الناس,O
40,تال,O
40,دابا,O
40,.,O
41,خنيفرة,B-LOC
41,،,O
41,جهة,O
41,بني,B-LOC
41,ملال,I-LOC
41,خنيفرة,B-LOC
41,،,O
41,ساكنين,O
41,فيها,O
41,16145,O
41,واحد,O
41,،,O
41,على,O
41,حسب,O
41,لإحصاء,O
41,لعام,O
41,2014,O
41,.,O
42,نسبة,O
42,لأمية,O
42,(,O
42,نّاس,O
42,لّي,O
42,ما,O
42,كايعرفوش,O
42,يقراو,O
42,ولا,O
42,يكتبو,O
42,),O
42,:,O
42,46,O
42,",",O
42,5,O
42,%,O
42,نسبة,O
42,سّكان,O
42,لّي,O
42,قاريين,O
42,فوق,O
42,تّانوي,O
42,(,O
42,تانوي,O
42,و,O
42,جامعة,O
42,),O
42,:,O
42,11,O
42,",",O
42,4,O
42,%,O
42,نسبة,O
42,نّاس,O
42,نّشيطين,O
42,(,O
42,لّي,O
42,يقدرو,O
42,يخدمو,O
42,),O
42,:,O
42,43,O
42,",",O
42,5,O
42,%,O
42,نسبة,O
42,لبطالة,O
42,(,O
42,نّاس,O
42,لّي,O
42,ما,O
42,خدامينش,O
42,و,O
42,تايقلبو,O
42,على,O
42,خدمة,O
42,),O
42,:,O
42,13,O
42,",",O
42,1,O
42,%,O
42,نسبة,O
42,نّاس,O
42,اللي,O
42,خدامين,O
42,ف,O
42,دّولة,O
42,:,O
42,7,O
42,",",O
42,2,O
42,%,O
42,نسبة,O
42,نّاس,O
42,اللي,O
42,خدامين,O
42,في,O
42,لقطاع,O
42,لخاص,O
42,:,O
42,32,O
42,",",O
42,9,O
42,%,O
42,لقبر,B-LOC
42,د,I-LOC
42,كيروس,I-LOC
42,(,O
42,ب,O
42,لفارسية,B-MISC
42,آرامݣاه,B-LOC
42,کوروش,I-LOC
42,بزرݣ,I-LOC
42,،,O
42,أرامݣاه,B-LOC
42,-,I-LOC
42,ي,I-LOC
42,كوروش,I-LOC
42,-,I-LOC
42,ي,I-LOC
42,بوزورݣ,I-LOC
42,),O
42,هيّا,O
42,لبلاصة,O
42,فين,O
42,تّدفن,O
42,كيروس,B-PER
42,لعضيم,I-PER
42,،,O
42,لمؤسس,O
42,ديال,O
42,لإمبراطورية,B-ORG
42,لهخمينيشية,I-ORG
42,.,O
43,ضّاريح,O
43,ديالو,O
43,جا,O
43,ف,O
43,پاسارݣاد,B-LOC
43,،,O
43,لي,O
43,هيّا,O
43,مدينة,O
43,أترية,O
43,جات,O
43,ف,O
43,لجانوب,O
43,د,O
43,إيران,B-LOC
43,،,O
43,ؤ,O
43,كاتّعتابر,O
43,دابا,O
43,ف,O
43,لّيستة,O
43,ديال,O
43,مواقع,O
43,تّرات,O
43,لعالمي,O
43,ديال,O
43,ليونيسكو,B-ORG
43,.,O
44,ضّاريح,O
44,كان,O
44,حدد,O
44,لموضع,O
44,ديالو,O
44,دّيپلوماسي,O
44,ؤ,O
44,لكاتب,O
44,نّݣليزي,B-MISC
44,دجيمس,B-PER
44,دجاستينيان,I-PER
44,موريير,I-PER
44,،,O
44,لي,O
44,عاش,O
44,ف,O
44,لقرن,O
44,19,O
44,،,O
44,ؤ,O
44,كان,O
44,قارنو,O
44,معا,O
44,لوصف,O
44,لي,O
44,كتبو,O
44,لمؤرخ,O
44,ليوناني,B-MISC
44,أريانوص,B-PER
44,.,O
45,لقبلتاريخ,O
45,ؤلا,O
45,لعصر,O
45,لي,O
45,قبل,O
45,تّاريخ,O
45,هو,O
45,موصطلح,O
45,كيشير,O
45,ل,O
45,فترة,O
45,زمانية,O
45,سبقات,O
45,لختيراع,O
45,د,O
45,لكتابة,O
45,.,O
46,فمصر,B-LOC
46,و,O
46,سومر,B-LOC
46,ف,O
46,لعراق,B-LOC
46,بانت,O
46,لكتابة,O
46,تقريبا,O
46,بين,O
46,3400,O
46,-,O
46,3200,O
46,ق,O
46,.,O
47,م,O
47,.,O
48,هاديك,O
48,لفترة,O
48,فيها,O
48,لعصور,O
48,جّيولوجية,O
48,و,O
48,لعصور,O
48,لحجرية,O
48,،,O
48,و,O
48,تقسيمات,O
48,زمانية,O
48,تاع,O
48,هاذ,O
48,لفترة,O
48,طّويلة,O
48,.,O
49,تينقاسم,O
49,لقبلتاريخ,O
49,ل,O
49,خمسة,O
49,د,O
49,لفترات,O
49,:,O
49,لعصر,O
49,لحجري,O
49,لقديم,O
49,سّفلي,O
49,-,O
49,مابين,O
49,7,O
49,ملاين,O
49,عام,O
49,تال,O
49,100,O
49,.,O
50,0,O
50,عام,O
50,.,O
51,بدات,O
51,منين,O
51,بان,O
51,بنادم,O
51,فلأرض,O
51,.,O
52,قبل,O
52,2,O
52,.,O
53,5,O
53,مليون,O
53,عام,O
53,هومو,O
53,إيريكتوس,B-MISC
53,(,O
53,بنادم,O
53,لواقف,O
53,),O
53,.,O
54,لقدس,B-LOC
54,هي,O
54,أكبر,O
54,لمدون,O
54,د,O
54,فلسطين,B-LOC
54,،,O
54,ؤ,O
54,من,O
54,أهم,O
